course_id,module_id,module_title,primary_track,primary_play_id,primary_play_title,primary_relationship_type,how_primary_lesson_informs_play,primary_lesson_page_note,secondary_play_ids,secondary_play_titles
INT 100,understanding-ai,Introduction to AI for Public Health,shared-foundational,1,Vision & Guardrails,prepares_for_play,"This lesson helps learners apply introduction to ai concepts while completing Vision & Guardrails activities, decisions, documentation, or review steps.",This lesson informs Play 1 by helping learners connect the lesson topic to vision & guardrails work in the AI Playbook sequence.,3; 11,Establish AI Governance; Build and Deploy AI Solutions
ANL 200,anl-200-natural-language-processing-for-public-health,Natural Language Processing for Public Health,Analytics and Modeling Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply natural language processing for public health concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,2; 7; 1,Readiness Assessment; Prioritize Use Cases; Vision & Guardrails
ANL 210,anl-210-machine-learning-basics-for-epidemiology-and-surveillance,Machine Learning Basics for Epidemiology and Surveillance,Analytics and Modeling Track,13,Monitor and Evaluate AI Systems,supports_monitoring,"This lesson helps learners apply machine learning basics for epidemiology and surveillance concepts while completing Monitor and Evaluate AI Systems activities, decisions, documentation, or review steps.",This lesson informs Play 13 by helping learners connect the lesson topic to monitor and evaluate ai systems work in the AI Playbook sequence.,11; 1; 7,Build and Deploy AI Solutions; Vision & Guardrails; Prioritize Use Cases
ANL 220,anl-220-predictive-analytics-and-risk-stratification,Predictive Analytics and Risk Stratification,Analytics and Modeling Track,13,Monitor and Evaluate AI Systems,supports_monitoring,"This lesson helps learners apply predictive analytics and risk stratification concepts while completing Monitor and Evaluate AI Systems activities, decisions, documentation, or review steps.",This lesson informs Play 13 by helping learners connect the lesson topic to monitor and evaluate ai systems work in the AI Playbook sequence.,1; 11; 3,Vision & Guardrails; Build and Deploy AI Solutions; Establish AI Governance
ANL 230,anl-230-geospatial-ai-and-spatial-epidemiology,Geospatial AI and Spatial Epidemiology,Analytics and Modeling Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply geospatial ai and spatial epidemiology concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,2; 1; 7,Readiness Assessment; Vision & Guardrails; Prioritize Use Cases
ANL 240,anl-240-time-series-analysis-anomaly-detection-and-outbreak-signals,"Time-Series Analysis, Anomaly Detection, and Outbreak Signals",Analytics and Modeling Track,13,Monitor and Evaluate AI Systems,supports_monitoring,"This lesson helps learners apply time-series analysis, anomaly detection, and outbreak signals concepts while completing Monitor and Evaluate AI Systems activities, decisions, documentation, or review steps.",This lesson informs Play 13 by helping learners connect the lesson topic to monitor and evaluate ai systems work in the AI Playbook sequence.,12; 1; 11,Execute Governance and Oversight; Vision & Guardrails; Build and Deploy AI Solutions
ANL 300,anl-300-advanced-model-validation-and-evaluation-for-public-health-ai,Advanced Model Validation and Evaluation for Public Health AI,Analytics and Modeling Track,13,Monitor and Evaluate AI Systems,supports_monitoring,"This lesson helps learners apply advanced model validation and evaluation for public health ai concepts while completing Monitor and Evaluate AI Systems activities, decisions, documentation, or review steps.",This lesson informs Play 13 by helping learners connect the lesson topic to monitor and evaluate ai systems work in the AI Playbook sequence.,12; 11; 3,Execute Governance and Oversight; Build and Deploy AI Solutions; Establish AI Governance
ANL 310,anl-310-evaluation-of-generative-ai-outputs,Evaluation of Generative AI Outputs,Analytics and Modeling Track,4,Engage Stakeholders,supports_public_communication,"This lesson helps learners apply evaluation of generative ai outputs concepts while completing Engage Stakeholders activities, decisions, documentation, or review steps.",This lesson informs Play 4 by helping learners connect the lesson topic to engage stakeholders work in the AI Playbook sequence.,7; 1; 13,Prioritize Use Cases; Vision & Guardrails; Monitor and Evaluate AI Systems
ANL 320,anl-320-synthetic-data-for-public-health-ai,Synthetic Data for Public Health AI,Analytics and Modeling Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply synthetic data for public health ai concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,2; 1; 7,Readiness Assessment; Vision & Guardrails; Prioritize Use Cases
ANL 330,anl-330-equity-evaluation-for-ai-models,Equity Evaluation for AI Models,Analytics and Modeling Track,13,Monitor and Evaluate AI Systems,supports_monitoring,"This lesson helps learners apply equity evaluation for ai models concepts while completing Monitor and Evaluate AI Systems activities, decisions, documentation, or review steps.",This lesson informs Play 13 by helping learners connect the lesson topic to monitor and evaluate ai systems work in the AI Playbook sequence.,11; 8; 3,Build and Deploy AI Solutions; Develop a Funding Strategy; Establish AI Governance
ANL 340,anl-340-causal-inference-and-ai-in-public-health-decision-making,Causal Inference and AI in Public Health Decision-Making,Analytics and Modeling Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply causal inference and ai in public health decision-making concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,7; 1; 2,Prioritize Use Cases; Vision & Guardrails; Readiness Assessment
ANL 350,anl-350-communicating-model-results-and-uncertainty,Communicating Model Results and Uncertainty,Analytics and Modeling Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply communicating model results and uncertainty concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,1; 7; 2,Vision & Guardrails; Prioritize Use Cases; Readiness Assessment
