course_id,module_id,module_title,primary_track,tool_id,tool_title,tool_route,tool_type,relationship_type,use_context,practical_exercise_instruction,example_instruction,rationale,related_play_ids,related_play_titles
INT 100,understanding-ai,Introduction to AI for Public Health,shared-foundational,1,AI Vision & Principles Workshop,#/toolkit/1,Workshop,supporting_reference,"Use AI Vision & Principles Workshop to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",,Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,AI Vision & Principles Workshop is relevant because the module addresses vision concepts or artifacts connected to Play 1.,1,Vision & Guardrails
INT 100,understanding-ai,Introduction to AI for Public Health,shared-foundational,2,Responsible AI Policy Template,#/toolkit/2,Template,supporting_reference,"Use Responsible AI Policy Template to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",,Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"Responsible AI Policy Template is relevant because the module addresses governance concepts or artifacts connected to Play 1, Play 3.",1; 3,Vision & Guardrails; Establish AI Governance
ANL 200,anl-200-natural-language-processing-for-public-health,Natural Language Processing for Public Health,Analytics and Modeling Track,4,AI Policy Landscape Scan,#/toolkit/4,Worksheet,illustrative_example,"Use AI Policy Landscape Scan to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",,Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"AI Policy Landscape Scan is relevant because the module addresses legal and policy concepts or artifacts connected to Play 1, Play 2, Play 3.",1; 2; 3,Vision & Guardrails; Readiness Assessment; Establish AI Governance
ANL 200,anl-200-natural-language-processing-for-public-health,Natural Language Processing for Public Health,Analytics and Modeling Track,5,AI Environmental and Resource Impact Review,#/toolkit/5,Checklist,illustrative_example,"Use AI Environmental and Resource Impact Review to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",,Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"AI Environmental and Resource Impact Review is relevant because the module addresses sustainability concepts or artifacts connected to Play 1, Play 7, Play 8.",1; 7; 8,Vision & Guardrails; Prioritize Use Cases; Develop a Funding Strategy
ANL 200,anl-200-natural-language-processing-for-public-health,Natural Language Processing for Public Health,Analytics and Modeling Track,6,Human-Centered AI Decision Rule Checklist,#/toolkit/6,Checklist,illustrative_example,"Use Human-Centered AI Decision Rule Checklist to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",,Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"Human-Centered AI Decision Rule Checklist is relevant because the module addresses human oversight concepts or artifacts connected to Play 1, Play 7, Play 11, Play 12, Play 13.",1; 7; 11; 12; 13,Vision & Guardrails; Prioritize Use Cases; Build and Deploy AI Solutions; Execute Governance and Oversight; Monitor and Evaluate AI Systems
ANL 200,anl-200-natural-language-processing-for-public-health,Natural Language Processing for Public Health,Analytics and Modeling Track,8,AI Project Charter,#/toolkit/8,Planning,illustrative_example,"Use AI Project Charter to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",,Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"AI Project Charter is relevant because the module addresses project management concepts or artifacts connected to Play 2, Play 7, Play 11.",2; 7; 11,Readiness Assessment; Prioritize Use Cases; Build and Deploy AI Solutions
ANL 200,anl-200-natural-language-processing-for-public-health,Natural Language Processing for Public Health,Analytics and Modeling Track,9,Data Quality Assessment Checklist,#/toolkit/9,Checklist,practical_exercise,"Use Data Quality Assessment Checklist to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Use this tool to complete or strengthen the practical exercise for the module using fictional, de-identified, or generalized information.",Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"Data Quality Assessment Checklist is relevant because the module addresses data concepts or artifacts connected to Play 2, Play 11.",2; 11,Readiness Assessment; Build and Deploy AI Solutions
ANL 200,anl-200-natural-language-processing-for-public-health,Natural Language Processing for Public Health,Analytics and Modeling Track,10,Tiered Data Classification for AI Use,#/toolkit/10,Worksheet,practical_exercise,"Use Tiered Data Classification for AI Use to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Use this tool to complete or strengthen the practical exercise for the module using fictional, de-identified, or generalized information.",Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"Tiered Data Classification for AI Use is relevant because the module addresses data governance concepts or artifacts connected to Play 2, Play 3, Play 11.",2; 3; 11,Readiness Assessment; Establish AI Governance; Build and Deploy AI Solutions
ANL 210,anl-210-machine-learning-basics-for-epidemiology-and-surveillance,Machine Learning Basics for Epidemiology and Surveillance,Analytics and Modeling Track,44,Performance Monitoring Dashboard,#/toolkit/44,Dashboard,practical_exercise,"Use Performance Monitoring Dashboard to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Use this tool to complete or strengthen the practical exercise for the module using fictional, de-identified, or generalized information.",Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"Performance Monitoring Dashboard is relevant because the module addresses monitoring concepts or artifacts connected to Play 12, Play 13.",12; 13,Execute Governance and Oversight; Monitor and Evaluate AI Systems
ANL 210,anl-210-machine-learning-basics-for-epidemiology-and-surveillance,Machine Learning Basics for Epidemiology and Surveillance,Analytics and Modeling Track,45,Continuous Improvement Log,#/toolkit/45,Log,practical_exercise,"Use Continuous Improvement Log to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Use this tool to complete or strengthen the practical exercise for the module using fictional, de-identified, or generalized information.",Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"Continuous Improvement Log is relevant because the module addresses improvement concepts or artifacts connected to Play 12, Play 13.",12; 13,Execute Governance and Oversight; Monitor and Evaluate AI Systems
